id,left,top,right,bottom,NYECount,Dec1count
4362,2126556.9662,5887864.9471,2136556.9662,5837864.9471,,
4363,2126556.9662,5837864.9471,2136556.9662,5787864.9471,,
4364,2126556.9662,5787864.9471,2136556.9662,5737864.9471,,
4365,2126556.9662,5737864.9471,2136556.9662,5687864.9471,,
4366,2126556.9662,5687864.9471,2136556.9662,5637864.9471,,
4367,2126556.9662,5637864.9471,2136556.9662,5587864.9471,,
4368,2126556.9662,5587864.9471,2136556.9662,5537864.9471,,
4369,2126556.9662,5537864.9471,2136556.9662,5487864.9471,,
4370,2126556.9662,5487864.9471,2136556.9662,5437864.9471,,
4371,2126556.9662,5437864.9471,2136556.9662,5387864.9471,,
4372,2126556.9662,5387864.9471,2136556.9662,5337864.9471,,
4373,2126556.9662,5337864.9471,2136556.9662,5287864.9471,,
4374,2126556.9662,5287864.9471,2136556.9662,5237864.9471,,
4375,2126556.9662,5237864.9471,2136556.9662,5187864.9471,,
4376,2126556.9662,5187864.9471,2136556.9662,5137864.9471,,
4377,2126556.9662,5137864.9471,2136556.9662,5087864.9471,,
4378,2126556.9662,5087864.9471,2136556.9662,5037864.9471,,
4379,2126556.9662,5037864.9471,2136556.9662,4987864.9471,,
4380,2126556.9662,4987864.9471,2136556.9662,4937864.9471,,
4381,2126556.9662,4937864.9471,2136556.9662,4887864.9471,,
4382,2126556.9662,4887864.9471,2136556.9662,4837864.9471,,
4383,2126556.9662,4837864.9471,2136556.9662,4787864.9471,,
4384,2126556.9662,4787864.9471,2136556.9662,4737864.9471,,
4385,2126556.9662,4737864.9471,2136556.9662,4687864.9471,,
4386,2126556.9662,4687864.9471,2136556.9662,4637864.9471,,
4387,2136556.9662,6337864.9471,2146556.9662,6287864.9471,,
4388,2136556.9662,6287864.9471,2146556.9662,6237864.9471,,
4389,2136556.9662,6237864.9471,2146556.9662,6187864.9471,,
4390,2136556.9662,6187864.9471,2146556.9662,6137864.9471,,
4391,2136556.9662,6137864.9471,2146556.9662,6087864.9471,,
4392,2136556.9662,6087864.9471,2146556.9662,6037864.9471,,
4393,2136556.9662,6037864.9471,2146556.9662,5987864.9471,,
4394,2136556.9662,5987864.9471,2146556.9662,5937864.9471,,
4395,2136556.9662,5937864.9471,2146556.9662,5887864.9471,,
4396,2136556.9662,5887864.9471,2146556.9662,5837864.9471,,
4397,2136556.9662,5837864.9471,2146556.9662,5787864.9471,,
4398,2136556.9662,5787864.9471,2146556.9662,5737864.9471,,
4399,2136556.9662,5737864.9471,2146556.9662,5687864.9471,,
4400,2136556.9662,5687864.9471,2146556.9662,5637864.9471,,
4401,2136556.9662,5637864.9471,2146556.9662,5587864.9471,,
4402,2136556.9662,5587864.9471,2146556.9662,5537864.9471,,
4403,2136556.9662,5537864.9471,2146556.9662,5487864.9471,,
4404,2136556.9662,5487864.9471,2146556.9662,5437864.9471,,
4405,2136556.9662,5437864.9471,2146556.9662,5387864.9471,,
4406,2136556.9662,5387864.9471,2146556.9662,5337864.9471,,
4407,2136556.9662,5337864.9471,2146556.9662,5287864.9471,,
4408,2136556.9662,5287864.9471,2146556.9662,5237864.9471,,
4409,2136556.9662,5237864.9471,2146556.9662,5187864.9471,,
4410,2136556.9662,5187864.9471,2146556.9662,5137864.9471,,
4411,2136556.9662,5137864.9471,2146556.9662,5087864.9471,,
4412,2136556.9662,5087864.9471,2146556.9662,5037864.9471,,
4413,2136556.9662,5037864.9471,2146556.9662,4987864.9471,,
4414,2136556.9662,4987864.9471,2146556.9662,4937864.9471,,
4415,2136556.9662,4937864.9471,2146556.9662,4887864.9471,,
4416,2136556.9662,4887864.9471,2146556.9662,4837864.9471,,
4417,2136556.9662,4837864.9471,2146556.9662,4787864.9471,,
4418,2136556.9662,4787864.9471,2146556.9662,4737864.9471,,
4419,2136556.9662,4737864.9471,2146556.9662,4687864.9471,,
4420,2136556.9662,4687864.9471,2146556.9662,4637864.9471,,
4421,2146556.9662,6337864.9471,2156556.9662,6287864.9471,,
4422,2146556.9662,6287864.9471,2156556.9662,6237864.9471,,
4423,2146556.9662,6237864.9471,2156556.9662,6187864.9471,,
4424,2146556.9662,6187864.9471,2156556.9662,6137864.9471,,
4425,2146556.9662,6137864.9471,2156556.9662,6087864.9471,,
4426,2146556.9662,6087864.9471,2156556.9662,6037864.9471,,
4427,2146556.9662,6037864.9471,2156556.9662,5987864.9471,,
4428,2146556.9662,5987864.9471,2156556.9662,5937864.9471,,
4429,2146556.9662,5937864.9471,2156556.9662,5887864.9471,,
4430,2146556.9662,5887864.9471,2156556.9662,5837864.9471,,
4431,2146556.9662,5837864.9471,2156556.9662,5787864.9471,,
4432,2146556.9662,5787864.9471,2156556.9662,5737864.9471,,
